Article:,Link:,Year Published:,Lot Number,Summary
Cardioprotective effects of constitutively active MEK1 against H₂O₂-induced apoptosis and autophagy in cardiomyocytes via the ERK1/2 signaling pathway,https://www.sciencedirect.com/science/article/pii/S0006291X19303791,2019,,
Delivering Cas9/sgRNA ribonucleoprotein (RNP) by lentiviral capsid-based bionanoparticles for efficient ‘hit-and-run’ genome editing,https://pmc.ncbi.nlm.nih.gov/articles/6753487/,2019,,
Delivering SaCas9 mRNA by lentivirus-like bionanoparticles for transient expression and efficient genome editing,https://pmc.ncbi.nlm.nih.gov/articles/PMC6486560/,2019,,
Editing the Sickle Cell Disease Mutation in Human Hematopoietic Stem Cells: Comparison of Endonucleases and Homologous Donor Templates,PMC,2019,,
GABA interneurons are the cellular trigger for ketamine’s rapid antidepressant actions,https://www.jci.org/articles/view/130808,2019,,
Hypothalamic neuronal circuits regulating hunger-induced taste modification,https://www.nature.com/articles/s41467-019-12478-x,2019,,
Improved CoChR Variants Restore Visual Acuity and Contrast Sensitivity in a Mouse Model of Blindness under Ambient Light Conditions,PMC,2019,,
Maladaptive Downregulation of Autonomous Subthalamic Nucleus Activity following the Loss of Midbrain Dopamine Neurons,https://www.sciencedirect.com/science/article/pii/S2211124719308563,2019,,
Mechanisms of PTPσ-Mediated Presynaptic Differentiation,https://www.frontiersin.org/journals/synaptic-neuroscience/articles/10.3389/fnsyn.2019.00017/full,2019,,
Mutant huntingtin enhances activation of dendritic Kv4 K+ channels in striatal spiny projection neurons,https://elifesciences.org/articles/40818,2019,,
Non-Crh Glutamatergic Neurons in Barrington’s Nucleus Control Micturition via Glutamatergic Afferents from the Midbrain and Hypothalamus,https://www.sciencedirect.com/science/article/pii/S0960982219308541,2019,,
SatB2-Expressing Neurons in the Parabrachial Nucleus Encode Sweet Taste,https://www.sciencedirect.com/science/article/pii/S2211124719305054,2019,,
The paraventricular hypothalamus regulates satiety and prevents obesity via two genetically distinct circuits,https://pmc.ncbi.nlm.nih.gov/articles/PMC6508999/,2019,,
The role of dendritic brain-derived neurotrophic factor transcripts on altered inhibitory circuitry in depression,PMC,2019,,
TPP Combined with DGUC as an Economic and Universal Process for Large-Scale Purification of AAV Vectors,https://pmc.ncbi.nlm.nih.gov/articles/PMC6926265/,2019,,
Viral-Mediated Optogenetic Stimulation of Peripheral Motor Nerves in Non-human Primates,https://pmc.ncbi.nlm.nih.gov/articles/PMC6684788/#s2,2019,,
Wilm’s tumor 1 promotes memory flexibility,https://pmc.ncbi.nlm.nih.gov/articles/PMC6704057/,2019,,
AAV2/6 Gene Therapy in a Murine Model of Fabry Disease Results in Supraphysiological Enzyme Activity and Effective Substrate Reduction,PMC,2020,,
Acute cerebellar knockdown of Sgce reproduces salient features of myoclonus-dystonia (DYT11) in mice,https://elifesciences.org/articles/52101,2020,,
Altered hippocampal-prefrontal communication during anxiety-related avoidance in mice deficient for the autism-associated gene Pogz,https://pmc.ncbi.nlm.nih.gov/articles/PMC7682992/,2020,,
Comparison of AAV-Mediated Optogenetic Vision Restoration between Retinal Ganglion Cell Expression and ON Bipolar Cell Targeting,https://www.sciencedirect.com/science/article/pii/S2329050120300966,2020,,
